Original_SKU,Cleaned_SKU,Is_SKU_Modified,Match_Found_In_Scrape,ODS_Inventory_ID,ODS_Price,Scrape_Price,ODS_Capacity_OZ,ODS_Capacity_ML,Scrape_Capacity,ODS_Description,Scrape_Description,Price_Diff,Price_Match
GBBstnAmb1ozRollonMattBlk,GBBstnAmb1ozRollonMattBlk,False,False,3383.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnAmb1ozRollonGl,GBBstnAmb1ozRollonGl,False,True,3382.0,,$0.87,1oz,"30ml,",30 ml (1.01 oz),"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each","Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball.",,False
GBBstnAmb1ozRollonMattGl,GBBstnAmb1ozRollonMattGl,False,False,3179.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnAmb1ozWhtDropper,GBBstnAmb1ozWhtDropper,False,False,3180.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb1ozBlkDropperShnSlTrim,GBBstnAmb1ozBlkDropperShnSlTrim,False,False,3178.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb1ozWhtDropperShnGlTrim,GBBstnAmb1ozWhtDropperShnGlTrim,False,False,3181.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb1ozWhtDropperShnSlTrim,GBBstnAmb1ozWhtDropperShnSlTrim,False,False,3182.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb1ozBlkDropperShnGlTrim,GBBstnAmb1ozBlkDropperShnGlTrim,False,False,3177.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb1ozBlkDropper,GBBstnAmb1ozBlkDropper,False,True,3176.0,,$0.68,1oz,"30ml,",30 ml (1.01 oz),"Boston rounddesign30ml,1oz Amber glass bottlewithblack dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each","Boston round design 30ml, 1oz Amber glass bottle with black dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.",,False
GBBstnAmb1ozBlkCapSht,GBBstnAmb1ozBlkCapSht,False,True,3175.0,,$0.45,1oz,"30ml,",30 ml (1.01 oz),"Boston rounddesign30ml,1oz Amber glass bottlewithshort black cap.For use with Perfume oils, essential oils, diffuser oils and aromatherapy.Price each","Boston round design 30ml, 1oz Amber glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",,False
