SKU_Name,SKU,Price_Tier1,Description,Status
GBBstnAmb1ozMtlRollonGl,GBBstnAmb1ozMtlRollonGl,$1.02,"Boston round design 30ml, 1oz Amber glass bottle with metal roller plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter metal-roller ball.",Found
GBBstnAmb1ozMtlRollonMattGl,,,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnAmb1ozRollonMattSl,,,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb1ozRollonShnSl,,,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb1ozRollonMattBlk,,,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb1ozRollonGl,GBBstnAmb1ozRollonGl,$0.87,"Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball.",Found
GBBstnAmb1ozRollonMattGl,,,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb1ozWhtDropper,,,"Boston rounddesign30ml,1oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb1ozBlkDropperShnSlTrim,,,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb1ozWhtDropperShnGlTrim,,,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb1ozWhtDropperShnSlTrim,,,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb1ozBlkDropperShnGlTrim,,,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb1ozBlkDropper,GBBstnAmb1ozBlkDropper,$0.68,"Boston round design 30ml, 1oz Amber glass bottle with black dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.",Found
GBBstnAmb1ozBlkCapSht,GBBstnAmb1ozBlkCapSht,$0.45,"Boston round design 30ml, 1oz Amber glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
GBBstnBlu1ozMtlRollonMattSl,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnBlu1ozMtlRollonShnSl,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnBlu1ozMtlRollonMattBlk,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnBlu1ozMtlRollonGl,GBBstnBlu1ozMtlRollonGl,$1.02,"Boston round design 30ml, 1oz Cobalt blue glass bottle with metal roller plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter metal-roller ball.",Found
GBBstnBlu1ozMtlRollonMattGl,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnBlu1ozRollonMattSl,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnBlu1ozRollonShnSl,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnBlu1ozRollonMattBlk,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
